Stacja,Rok,Mies,Sred_Temp,Sred_Wilgot,Sred_Pred_Wiatr,Sred_Zachmurz,Abs_Temp_Max,Srd_Temp_Max,Abs_Temp_Min,Sred_Temp_Min,Min_Temp_Grunt,Suma_Opadow,Max_Opad,Maks_Snieg,Dni_Zaspa,Dni_Deszcz,Dni_Snieg
PU£AWY,2022,6,19.9,77.7,2.5,3.9,35.7,26.2,6.5,13.0,4.4,35.9,18.5,0,0,7,0
PU£AWY,2022,7,19.5,79.7,2.8,4.8,35.7,25.5,8.6,13.4,6.9,94.7,48.2,0,0,13,0
PU£AWY,2022,8,21.1,79.8,2.2,4.6,32.7,27.4,9.7,15.2,6.5,47.0,15.3,0,0,8,0
PU£AWY,2022,9,11.7,88.8,2.1,5.3,23.1,16.8,3.4,7.4,-1.5,71.0,16.4,0,0,14,0
PU£AWY,2022,10,10.5,91.3,2.2,5.0,22.2,16.4,-1.4,5.9,-5.0,19.9,5.0,0,0,11,0
PU£AWY,2022,11,3.6,92.8,2.1,6.8,15.9,6.3,-8.6,1.0,-11.2,36.6,12.0,13,7,7,3
PU£AWY,2022,12,-.1,90.5,2.7,7.1,9.8,2.3,-12.9,-2.9,-20.1,74.9,10.0,34,17,11,12
PU£AWY,2023,1,2.6,92.3,2.5,6.9,13.4,4.9,-3.4,.3,-5.6,77.9,12.6,11,6,11,8
PU£AWY,2023,2,.9,86.5,2.8,6.3,9.2,4.1,-9.8,-2.2,-13.7,31.8,8.4,6,8,7,4
PU£AWY,2023,3,4.3,83.5,2.8,6.0,19.2,9.8,-7.5,-.4,-14.2,50.1,10.5,4,3,11,9
PU£AWY,2023,4,8.6,82.1,3.0,5.6,23.2,14.0,-4.8,3.3,-5.9,49.9,13.5,2,1,10,2
PU£AWY,2023,5,13.4,78.6,2.4,3.9,25.6,19.5,-1.4,6.3,-4.2,62.3,29.0,0,0,6,0
PU£AWY,2023,6,18.1,79.4,2.3,4.8,29.6,24.3,3.5,11.3,-1.0,35.6,8.2,0,0,10,0
PU£AWY,2023,7,20.5,81.4,2.2,5.0,34.6,26.8,10.2,13.6,6.4,82.6,30.9,0,0,13,0
PU£AWY,2023,8,20.8,86.7,2.0,4.6,33.4,27.1,8.9,15.0,7.3,88.1,19.7,0,0,15,0
PU£AWY,2023,9,17.5,90.0,2.0,3.0,29.7,24.7,7.2,11.6,4.9,21.9,15.0,0,0,6,0
PU£AWY,2023,10,10.8,91.3,2.7,5.8,24.2,16.4,-2.2,6.2,-4.6,62.3,18.4,0,0,15,0
PU£AWY,2023,11,3.5,92.3,2.9,5.9,16.3,7.2,-11.2,-.1,-21.0,55.5,12.1,9,6,11,7
