Stacja,Rok,Mies,Abs_Temp_Maks,Srd_Temp_Maks,Abs_Temp_Min,Srd_Temp_Min,Srd_Temp,Min_Temp_Grunt,Suma_Opad,Maks_Dob_Sum_Opad,Suma_Slonce,Maks_Pokryw_Snieg,Dni_z_Snieg,Dni_Z_Deszcz,Dni_Z_Snieg,Dni_DeszczISnieg,Dni_Grad,Dni_Mgla,Dni_Zamglen,Dni_Sadz,Dni_Gololedz,Dni_Zamiec_Niska,Dni_Zamiec_Wysoka,Dni_Zmetnienie,Dni_Wiatr,Dni_Big_Waitr,Dni_Burza,Dni_Rosa,Dni_Szron,Zachmurz,Wiatr,Sred_Cisnienie_Pary,Sred_Wilgot,Sred_Cisn,Sred_Cisn_PoziomMorza,Suma_Opadu_Dzien,Suma_Opadu_Noc
LUBLIN-RADAWIEC,2018,11,18.4,7.1,-9.5,.9,3.5,-10.8,8.6,3.3,99.6,2,6,4,1,0,0,16,26,2,0,0,0,0,0,0,0,12,7,5.0,2.8,7.7,88.8,995.5,1025.4,3.9,4.7
LUBLIN-RADAWIEC,2018,12,6.7,1.9,-12.9,-1.9,.1,-15.2,68.5,11.5,14.4,7,11,11,14,7,1,6,31,3,2,3,0,0,1,0,0,0,7,7.2,3.4,5.8,91.1,987.9,1018.0,37.3,31.2
LUBLIN-RADAWIEC,2019,1,4.4,-1.2,-12.0,-5.8,-3.4,-19.0,46.1,6.6,26.2,19,30,1,20,5,0,8,29,6,3,7,0,0,4,0,0,0,4,7.1,3.4,4.3,87.7,980.8,1011.1,23.3,22.8
LUBLIN-RADAWIEC,2019,2,11.8,5.7,-8.5,-.7,2.1,-8.9,15.7,9.3,107.6,20,11,3,5,1,0,5,22,0,0,0,0,0,2,0,0,0,12,5.8,3.6,5.8,80.5,991.7,1021.7,6.8,8.9
LUBLIN-RADAWIEC,2019,3,18.2,9.8,-6.0,1.2,4.9,-7.6,22.1,4.5,140.4,1,1,10,5,2,0,0,17,0,0,0,0,0,5,1,0,2,11,5.5,3.8,6.4,72.9,985.7,1015.1,9.2,12.9
LUBLIN-RADAWIEC,2019,4,26.7,14.8,-3.6,4.2,9.4,-6.3,32.3,16.9,242.0,0,0,6,2,1,0,1,7,0,0,0,0,0,1,0,2,4,3,4.0,3.4,7.1,59.5,989.6,1018.7,13.2,19.1
LUBLIN-RADAWIEC,2019,5,25.3,17.7,.8,8.8,12.8,-3.3,101.5,24.6,.0,0,0,16,0,0,0,3,22,0,0,0,0,0,0,0,8,16,1,6.0,2.9,11.9,78.5,983.5,1012.1,56.4,45.1
LUBLIN-RADAWIEC,2019,6,32.5,27.3,9.3,15.2,21.3,7.6,19.5,17.5,355.0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,8,17,0,3.2,2.6,17.4,69.5,989.7,1017.7,19.4,.1
LUBLIN-RADAWIEC,2019,7,34.9,24.5,6.4,12.9,18.3,4.4,29.7,9.6,256.2,0,0,11,0,0,0,0,6,0,0,0,0,0,1,0,5,11,0,4.8,2.8,13.8,66.5,984.4,1012.5,25.7,4.0
LUBLIN-RADAWIEC,2019,8,31.8,26.0,7.8,14.1,19.7,6.9,83.0,26.2,.0,0,0,9,0,0,0,1,9,0,0,0,0,0,0,0,7,29,0,3.8,2.0,15.7,70.1,989.2,1017.3,16.1,66.9
LUBLIN-RADAWIEC,2019,9,29.4,19.6,3.0,9.6,14.1,1.1,49.5,26.8,.0,0,0,14,0,0,0,4,13,0,0,0,0,0,2,0,2,25,0,4.8,2.7,12.4,77.5,989.1,1017.7,7.8,41.7
LUBLIN-RADAWIEC,2019,10,22.5,16.2,-2.1,6.5,10.5,-5.3,30.9,9.6,.0,0,0,8,0,0,0,7,25,0,0,0,0,0,0,0,0,18,4,4.3,2.1,10.6,82.4,988.0,1017.0,6.9,24.0
LUBLIN-RADAWIEC,2019,11,17.3,8.9,-4.4,3.3,5.9,-7.1,58.7,30.4,.0,0,0,16,0,0,0,10,25,0,3,0,0,0,0,0,0,8,5,6.8,3.4,8.7,90.8,983.2,1012.5,42.5,16.2
LUBLIN-RADAWIEC,2019,12,12.3,4.7,-4.3,.2,2.4,-8.2,41.7,19.2,.0,2,2,9,3,1,0,1,25,0,0,0,0,0,0,0,0,4,9,6.5,3.4,6.5,87.3,984.8,1014.6,16.2,25.5
LUBLIN-RADAWIEC,2020,1,7.9,3.2,-4.5,-1.0,.9,-7.0,27.8,7.0,.0,3,1,7,8,4,0,7,24,2,3,0,0,0,1,0,0,0,14,6.2,3.2,5.7,87.0,992.9,1023.0,12.7,15.1
LUBLIN-RADAWIEC,2020,2,11.7,5.9,-5.8,.1,2.6,-8.6,56.1,10.4,.0,0,0,11,10,9,0,2,21,0,0,0,0,0,3,0,0,0,17,6.0,3.8,6.2,82.2,983.0,1012.7,25.0,31.1
LUBLIN-RADAWIEC,2020,3,16.7,9.4,-7.5,-.1,4.2,-9.4,18.0,7.6,.0,1,2,9,3,0,0,1,14,0,0,0,0,2,2,0,0,3,14,4.4,3.2,5.7,68.2,989.4,1019.1,11.8,6.2
LUBLIN-RADAWIEC,2020,4,24.7,15.1,-4.3,1.4,8.4,-6.6,21.4,21.0,.0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,1,4,2.9,3.0,5.5,50.6,989.1,1018.4,2.8,18.6
LUBLIN-RADAWIEC,2020,5,25.6,16.6,.3,5.8,10.8,-1.7,96.3,30.8,.0,0,0,14,1,1,0,2,13,0,0,0,0,0,2,0,3,17,0,5.5,3.1,9.4,73.3,987.5,1016.4,49.9,46.4
LUBLIN-RADAWIEC,2020,6,30.0,23.7,4.8,13.8,18.3,2.1,140.1,20.5,.0,0,0,21,0,0,0,9,20,0,0,0,0,0,0,0,14,15,0,5.4,2.4,17.1,81.1,983.1,1011.1,100.1,40.0
LUBLIN-RADAWIEC,2020,7,29.4,24.2,7.9,13.0,18.5,6.0,31.8,15.0,285.6,0,0,10,0,0,0,2,11,0,0,0,0,0,1,0,5,27,0,4.6,2.2,15.3,73.3,987.3,1015.5,20.1,11.7
LUBLIN-RADAWIEC,2020,8,32.6,26.6,9.3,14.0,19.9,5.6,42.4,15.5,279.1,0,0,9,0,0,0,1,13,0,0,0,0,0,1,0,6,26,0,3.9,2.2,15.9,70.6,986.3,1014.3,22.0,20.4
LUBLIN-RADAWIEC,2020,9,27.8,20.9,4.0,9.9,15.0,.5,135.7,55.1,223.9,0,0,11,0,0,0,5,23,0,0,0,0,0,0,0,5,24,0,4.1,2.0,13.5,80.6,989.1,1017.7,70.4,65.3
LUBLIN-RADAWIEC,2020,10,23.5,14.0,1.0,7.4,10.3,-1.8,86.6,22.5,98.7,0,0,18,0,0,0,12,23,0,0,0,0,0,0,0,1,16,0,6.2,2.4,11.3,89.7,985.2,1014.2,39.2,47.4
LUBLIN-RADAWIEC,2020,11,15.5,7.0,-3.6,2.5,4.6,-6.5,15.2,7.6,54.0,2,2,13,1,1,0,10,26,0,0,0,0,0,0,0,0,7,6,6.5,2.4,7.8,90.3,995.8,1025.7,11.0,4.2
LUBLIN-RADAWIEC,2020,12,8.7,2.9,-4.8,-.7,1.1,-5.9,26.6,5.6,32.0,1,1,7,2,0,0,11,25,0,2,0,0,0,1,0,0,0,7,6.9,3.7,6.1,91.3,986.9,1016.9,13.8,12.8
LUBLIN-RADAWIEC,2021,1,8.3,.6,-20.9,-4.6,-2.0,-26.9,46.2,9.4,52.7,26,21,3,16,3,0,6,30,3,0,5,0,0,0,0,0,0,13,6.7,3.1,5.0,89.0,980.9,1011.1,28.7,17.5
LUBLIN-RADAWIEC,2021,2,12.2,.5,-17.9,-6.4,-3.1,-26.4,34.5,13.1,95.5,26,25,3,9,1,0,5,25,3,0,7,1,2,1,0,0,0,15,6.0,3.4,4.5,85.0,991.0,1021.5,24.3,10.2
LUBLIN-RADAWIEC,2021,3,19.5,6.4,-6.5,-1.0,2.4,-8.9,10.7,2.6,146.5,4,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.3,5.7,77.3,989.8,1019.7,3.1,7.6
LUBLIN-RADAWIEC,2021,4,21.1,11.4,-3.6,1.9,6.0,-6.4,36.8,13.0,193.2,6,2,7,7,4,0,2,14,0,0,0,0,0,1,0,1,3,10,5.4,3.5,6.6,72.1,986.3,1015.7,13.4,23.4
LUBLIN-RADAWIEC,2021,5,24.5,17.4,.6,7.1,12.1,-3.5,45.3,8.7,233.4,0,0,18,0,0,0,1,9,0,0,0,0,0,3,0,4,13,1,5.3,3.3,9.9,71.2,983.5,1012.2,27.6,17.7
LUBLIN-RADAWIEC,2021,6,32.6,24.8,5.8,12.7,19.1,2.0,64.4,26.1,335.5,0,0,11,0,0,1,0,4,0,0,0,0,0,2,0,9,23,0,3.6,2.2,14.9,68.0,988.9,1017.0,34.9,29.5
LUBLIN-RADAWIEC,2021,7,32.6,27.2,12.9,16.6,21.6,9.8,82.7,37.6,287.2,0,0,11,0,0,2,2,12,0,0,0,0,0,0,0,12,24,0,4.5,2.4,18.7,74.1,985.9,1013.7,35.2,47.5
LUBLIN-RADAWIEC,2021,8,30.0,21.5,8.0,12.5,16.6,4.6,202.9,51.3,183.6,0,0,17,0,0,0,4,21,0,0,0,0,0,0,0,8,25,0,5.4,2.2,15.4,82.3,985.7,1014.0,114.5,88.4
LUBLIN-RADAWIEC,2021,9,24.9,17.6,2.6,8.3,12.7,-.6,59.1,17.5,190.5,0,0,10,0,0,0,2,19,0,0,0,0,0,0,0,2,23,0,4.6,2.7,11.9,81.2,990.2,1019.0,31.7,27.4
LUBLIN-RADAWIEC,2021,10,20.2,13.6,-1.3,4.7,8.6,-5.5,4.6,3.2,189.1,0,0,3,0,0,0,4,13,0,0,0,0,0,0,0,0,22,4,4.2,2.8,8.3,74.1,993.0,1022.4,1.4,3.2
LUBLIN-RADAWIEC,2021,11,13.9,7.5,-2.2,2.1,4.6,-5.5,28.8,6.7,72.5,0,0,15,2,2,0,9,26,0,0,0,0,0,1,0,0,11,10,5.9,3.3,7.4,87.6,986.4,1016.0,8.8,20.0
LUBLIN-RADAWIEC,2021,12,9.3,.5,-14.0,-3.7,-1.5,-17.3,22.0,7.2,38.5,4,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.5,5.1,88.6,985.1,1015.3,13.6,5.8
LUBLIN-RADAWIEC,2022,1,9.4,1.8,-11.8,-2.3,-.2,-18.2,38.6,11.3,49.8,4,8,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,4.5,5.3,85.0,987.2,1017.3,27.3,11.3
LUBLIN-RADAWIEC,2022,2,9.4,5.2,-6.4,-.5,2.2,-13.5,34.8,7.6,92.0,9,10,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,4.2,5.8,81.1,984.9,1014.7,26.6,8.2
LUBLIN-RADAWIEC,2022,3,18.0,7.5,-11.1,-2.1,2.4,-12.8,14.5,7.2,215.5,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.8,4.7,65.2,997.6,1027.8,1.0,13.5
LUBLIN-RADAWIEC,2022,4,18.2,10.1,-4.1,2.2,6.1,-5.5,45.6,11.3,156.0,22,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.1,7.2,76.9,983.8,1013.1,28.7,16.9
LUBLIN-RADAWIEC,2022,5,26.2,19.2,.4,7.2,13.2,-2.5,25.1,9.6,301.3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.7,9.9,66.3,988.8,1017.5,14.2,10.9
LUBLIN-RADAWIEC,2022,6,34.1,25.0,5.8,12.3,18.8,2.7,34.0,16.9,335.4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.4,14.8,70.4,988.1,1016.3,32.4,1.6
LUBLIN-RADAWIEC,2022,7,33.3,24.6,8.5,13.7,18.8,5.6,82.7,26.3,247.9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,.0,15.0,70.8,988.8,1017.0,24.5,58.2
LUBLIN-RADAWIEC,2022,8,31.4,26.8,9.7,15.1,20.8,6.8,27.7,12.9,289.5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.0,16.8,70.4,988.5,1016.5,13.4,14.3
LUBLIN-RADAWIEC,2022,9,22.3,16.1,3.5,7.5,11.6,-.4,59.1,13.2,148.4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.4,10.6,79.5,984.7,1013.5,33.2,25.9
LUBLIN-RADAWIEC,2022,10,21.8,15.7,-.5,6.4,10.5,-3.8,20.1,4.1,156.9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.5,10.8,84.5,992.2,1021.3,9.6,10.5
LUBLIN-RADAWIEC,2022,11,14.5,5.7,-7.6,1.6,3.5,-11.6,27.5,10.8,40.3,8,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.3,7.4,90.8,989.5,1019.2,17.6,9.9
LUBLIN-RADAWIEC,2022,12,10.0,1.4,-16.0,-2.6,-.4,-24.3,58.9,8.0,30.0,36,17,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.2,5.4,89.1,987.4,1017.5,27.2,31.7
LUBLIN-RADAWIEC,2023,1,12.3,4.1,-2.8,.8,2.2,-4.4,68.7,13.0,22.8,16,5,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.1,6.5,89.8,987.3,1017.1,31.1,37.6
LUBLIN-RADAWIEC,2023,2,8.9,3.1,-11.1,-1.9,.5,-16.1,37.3,11.0,83.7,4,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.9,5.3,80.7,992.2,1022.4,14.3,23.0
LUBLIN-RADAWIEC,2023,3,18.7,8.9,-9.4,.5,4.3,-15.1,36.5,10.9,128.8,3,4,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.4,6.4,75.0,981.4,1010.9,25.6,10.9
LUBLIN-RADAWIEC,2023,4,21.2,12.8,-4.3,3.8,8.1,-5.9,62.5,16.1,171.3,4,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.9,8.0,74.4,986.5,1015.7,29.8,32.7
LUBLIN-RADAWIEC,2023,5,24.0,18.0,-.3,6.7,12.7,-3.3,71.6,24.1,298.6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.3,9.5,65.7,992.5,1021.4,48.6,23.0
LUBLIN-RADAWIEC,2023,6,27.8,22.7,3.4,11.9,17.2,1.5,38.4,15.1,269.4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,.0,13.9,72.1,988.1,1016.5,12.8,25.6
LUBLIN-RADAWIEC,2023,7,32.5,25.3,9.6,13.9,19.5,8.2,87.7,32.3,278.5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,.0,15.5,71.1,984.8,1012.8,46.6,41.1
LUBLIN-RADAWIEC,2023,8,32.7,26.3,10.0,15.5,20.3,8.0,68.6,15.9,254.3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.0,17.6,75.1,986.0,1013.9,29.4,39.2
LUBLIN-RADAWIEC,2023,9,28.9,23.6,8.4,12.2,17.5,5.8,33.2,21.3,253.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,1.9,15.2,77.9,991.9,1020.3,29.0,4.2
LUBLIN-RADAWIEC,2023,10,22.8,15.4,-1.8,7.2,10.9,-5.5,73.9,30.1,127.2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.8,11.2,84.9,983.7,1012.5,36.8,37.1
LUBLIN-RADAWIEC,2023,11,14.0,6.1,-11.4,.7,3.3,-17.1,51.2,14.0,59.4,7,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.3,7.0,87.1,977.9,1007.3,30.2,21.0
LUBLIN-RADAWIEC,2023,12,10.2,2.8,-14.1,-1.7,.8,-22.7,43.6,10.0,22.2,30,16,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.8,6.0,89.8,982.9,1012.8,23.8,19.8
LUBLIN-RADAWIEC,2024,1,8.2,1.3,-20.0,-4.2,-1.4,-24.7,55.5,20.2,62.9,16,19,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,4.0,5.1,86.0,986.7,1016.9,30.5,25.0
LUBLIN-RADAWIEC,2024,2,16.2,8.7,-2.8,2.9,5.6,-5.2,53.6,6.5,52.5,7,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.6,7.9,86.1,983.4,1012.8,32.1,21.5
LUBLIN-RADAWIEC,2024,3,22.5,9.8,-5.1,2.4,5.6,-8.0,46.9,18.9,127.8,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.0,7.4,82.5,984.7,1014.1,20.8,26.1
LUBLIN-RADAWIEC,2024,4,25.4,15.9,-2.7,5.6,10.5,-5.1,22.9,7.8,200.7,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,3.0,9.1,72.9,985.8,1014.7,8.4,14.5
LUBLIN-RADAWIEC,2024,5,27.8,22.4,1.4,8.5,15.9,-1.7,17.1,8.7,368.4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,2.1,10.6,59.9,988.4,1016.9,9.5,7.6
LUBLIN-RADAWIEC,2024,6,32.8,24.2,6.6,13.8,18.8,5.5,95.5,34.1,275.8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0,.0,.0,75.4,.0,.0,73.1,22.4
